//ZwU
(49, -10) 2 2 1
(62, -10) 3 3 1
//ZwU
(276, -10) 2 2 1
(289, -10) 3 3 1
//ZwU
(425, -10) 2 2 1
(438, -10) 3 3 1
//ZwU
(612, -10) 2 2 1
(625, -10) 3 3 1
//ZwU
(696, -10) 2 2 1
(709, -10) 3 3 1
//ZwL
(-10, 69) 2 2 1
(-10, 82) 1 1 1
//ZwL
(-10, 449) 2 2 1
(-10, 462) 1 1 1
//ZwL
(-10, 676) 2 2 1
(-10, 689) 1 1 1
//ZwD
(185, 778) 1 1 1
(198, 778) 0 0 1
//ZwD
(337, 778) 1 1 1
(350, 778) 0 0 1
//ZwD
(569, 778) 1 1 1
(582, 778) 0 0 1
//ZwR
(778, 69) 3 3 1
(778, 82) 0 0 1
//ZwR
(778, 281) 3 3 1
(778, 294) 0 0 1
//ZwR
(778, 449) 3 3 1
(778, 462) 0 0 1
//ZwR
(778, 537) 3 3 1
(778, 550) 0 0 1
//4
(49, 69) 3 2 1
(62, 69) 3 0 1
(49, 82) 1 2 1
(62, 82) 1 0 1
//3U
(133, 69) 3 2 1
(146, 69) 3 3 1
(133, 82) 1 2 1
(146, 82) 1 0 1
//3D
(276, 69) 3 2 1
(289, 69) 3 0 1
(276, 82) 1 1 1
(289, 82) 1 0 1
//4
(425, 69) 3 2 1
(438, 69) 3 0 1
(425, 82) 1 2 1
(438, 82) 1 0 1
//3D
(612, 69) 3 2 1
(625, 69) 3 0 1
(612, 82) 1 1 1
(625, 82) 1 0 1
//4
(696, 69) 3 2 1
(709, 69) 3 0 1
(696, 82) 1 2 1
(709, 82) 1 0 1
//2DL
(133, 157) 2 2 1
(146, 157) 0 0 1
(133, 170) 1 1 1
(146, 170) 1 1 1
//2UR
(217, 157) 3 3 1
(230, 157) 3 3 1
(217, 170) 2 2 1
(230, 170) 0 0 1
//2UL
(337, 153) 2 2 1
(350, 153) 3 3 1
(337, 166) 2 2 1
(350, 166) 1 1 1
//3R
(425, 153) 3 2 1
(438, 153) 3 0 1
(425, 166) 1 2 1
(438, 166) 0 0 1
//3L
(49, 237) 2 2 1
(62, 237) 3 0 1
(49, 250) 1 2 1
(62, 250) 1 0 1
//3D
(217, 237) 3 2 1
(230, 237) 3 0 1
(217, 250) 1 1 1
(230, 250) 1 0 1
//3R
(337, 237) 3 2 1
(350, 237) 3 0 1
(337, 250) 1 2 1
(350, 250) 0 0 1
//3L
(425, 281) 2 2 1
(438, 281) 3 0 1
(425, 294) 1 2 1
(438, 294) 1 0 1
//3D
(696, 281) 3 2 1
(709, 281) 3 0 1
(696, 294) 1 1 1
(709, 294) 1 0 1
//2UL
(185, 365) 2 2 1
(198, 365) 3 3 1
(185, 378) 2 2 1
(198, 378) 1 1 1
//4
(337, 365) 3 2 1
(350, 365) 3 0 1
(337, 378) 1 2 1
(350, 378) 1 0 1
//3D
(425, 365) 3 2 1
(438, 365) 3 0 1
(425, 378) 1 1 1
(438, 378) 1 0 1
//2UR
(569, 365) 3 3 1
(582, 365) 3 3 1
(569, 378) 2 2 1
(582, 378) 0 0 1
//3D
(49, 449) 3 2 1
(62, 449) 3 0 1
(49, 462) 1 1 1
(62, 462) 1 0 1
//4
(185, 449) 3 2 1
(198, 449) 3 0 1
(185, 462) 1 2 1
(198, 462) 1 0 1
//4
(337, 449) 3 2 1
(350, 449) 3 0 1
(337, 462) 1 2 1
(350, 462) 1 0 1
//4
(569, 449) 3 2 1
(582, 449) 3 0 1
(569, 462) 1 2 1
(582, 462) 1 0 1
//3U
(653, 449) 3 2 1
(666, 449) 3 3 1
(653, 462) 1 2 1
(666, 462) 1 0 1
//2UL
(97, 533) 2 2 1
(110, 533) 3 3 1
(97, 546) 2 2 1
(110, 546) 1 1 1
//3R
(185, 533) 3 2 1
(198, 533) 3 0 1
(185, 546) 1 2 1
(198, 546) 0 0 1
//2DL
(653, 537) 2 2 1
(666, 537) 0 0 1
(653, 550) 1 1 1
(666, 550) 1 1 1
//3L
(337, 597) 2 2 1
(350, 597) 3 0 1
(337, 610) 1 2 1
(350, 610) 1 0 1
//3R
(569, 597) 3 2 1
(582, 597) 3 0 1
(569, 610) 1 2 1
(582, 610) 0 0 1
//3D
(97, 676) 3 2 1
(110, 676) 3 0 1
(97, 689) 1 1 1
(110, 689) 1 0 1
//3R
(185, 676) 3 2 1
(198, 676) 3 0 1
(185, 689) 1 2 1
(198, 689) 0 0 1
